,Temperature,ccdeg,oxidw,locb,mocb,silw,carbw,mccb,delta_ocn,phosw,mopb,fepb,capb,ANOX,UPLIFT,PG,DEGASS,VEG,EVO,Age
403,285.13750641295997,9980609339569.201,6237880837230.75,2540944876618.7314,2027557676473.4167,6903586464552.727,5225761698020.162,12129348162572.889,0.3474086302461966,33563016584.264133,8101939092.266635,9015945674.2992,16220461411.787329,0.0013631529406444899,1.0,1.0,1.0,0.9337964707012474,1.0,-293773982.6287605
404,285.1431014840183,9980609339569.201,6237880837230.75,2542926846765.5195,2032675943701.2993,6912640396536.026,5232614357896.511,12145254754432.537,0.41975847419078205,33607033889.018486,8122334458.5001135,9027234049.736952,16261407549.610395,0.0013724627923793978,1.0,1.0,1.0,0.9345248441284463,1.0,-293757225.1972938
405,285.14789360740565,9980609339569.201,6237880837230.75,2544617538612.0317,2037137973130.558,6920385403050.167,5238474673194.621,12158860076244.79,0.48895148080490747,33644687619.208454,8140114345.360628,9037062857.233843,16297103785.044466,0.0013806211251427697,1.0,1.0,1.0,0.9351461728687286,1.0,-293740467.7658271
406,285.1527235126947,9980609339569.201,6237880837230.75,2546274557194.4346,2043974335096.4338,6928089576713.2,5244302511514.06,12172392088227.26,0.617985411625723,33682142833.211796,8167354362.537679,9052099744.03573,16351794680.771473,0.001393197181485829,1.0,1.0,1.0,0.9357551266946743,1.0,-293706952.9028937
407,285.14934181009454,9980609339569.201,6237880837230.75,2544953451951.8794,2047538290761.2876,6922326685689.584,5239943135651.958,12162269821341.543,0.7346059281196878,33654125510.912426,8181554790.608234,9059928292.578283,16380306326.0903,0.0013997902547517249,1.0,1.0,1.0,0.9352696209191359,1.0,-293673438.0399603
408,285.13724582322556,9980609339569.201,6237880837230.75,2540471653423.608,2047047564681.7744,6902294196306.583,5224783486555.032,12127077682861.615,0.8385540609182325,33556733991.75959,8179599531.261009,9058850796.318653,16376380517.454195,0.0013988809402552065,1.0,1.0,1.0,0.9336225613207149,1.0,-293639923.1770269
409,285.11785631093994,9980609339569.201,6237880837230.75,2533343771188.3823,2042180940923.5913,6870386972821.615,5200617407645.3955,12071004380467.012,0.9293204070185349,33401611335.371864,8160208548.60858,9048157665.561346,16337447527.388731,0.0013898890993035528,1.0,1.0,1.0,0.9310030667633654,1.0,-293606408.31409353
410,285.0929961389716,9980609339569.201,6237880837230.75,2524230245715.0503,2033321044830.2935,6829671050774.319,5169743528578.353,11999414579352.672,1.0064996751721458,33203663620.233692,8124905026.829344,9028655760.29372,16266568358.642347,0.0013736398576659043,1.0,1.0,1.0,0.9276538489188729,1.0,-293572893.45116013
411,285.05071356034733,9980609339569.201,6237880837230.75,2508754732301.604,2015366143054.584,6760826456578.554,5117447843625.255,11878274300203.809,1.0921993980875675,32868963349.78823,8053355642.291285,8988996488.755522,16122929144.436672,0.0013411839092689248,1.0,1.0,1.0,0.9219666024379511,1.0,-293525701.0902174
412,285.00224940083734,9980609339569.201,6237880837230.75,2491032778761.3105,1992782159827.9111,6682491877066.916,5057801940377.747,11740293817444.664,1.1517058985355162,32488125823.558914,7963349327.724471,8938847163.04736,15942257278.623287,0.0013012480313527605,1.0,1.0,1.0,0.9154537898924547,1.0,-293478508.7292747
413,284.951062958056,9980609339569.201,6237880837230.75,2472320052192.038,1967236777186.1392,6600389498805.357,4995125737880.438,11595515236685.797,1.186366837719159,32088970471.86611,7861527216.017256,8881760352.675945,15737894217.489113,0.0012572444783717305,1.0,1.0,1.0,0.908576868559617,1.0,-293431316.36833197
414,284.9019488743804,9980609339569.201,6237880837230.75,2454358033894.8535,1940672948500.8428,6522193332095.109,4935278336137.01,11457471668232.12,1.1983397897257104,31708805864.151306,7755631002.095904,8821983613.920599,15525383588.00674,0.0012127737980306918,1.0,1.0,1.0,0.901975832288849,1.0,-293384124.00738925
415,284.83955791207893,9980609339569.201,6237880837230.75,2431523429062.948,1905157077740.5803,6423660656584.26,4859654400607.234,11283315057191.494,1.1833559204646522,31229771692.674927,7614025148.750693,8741389039.375868,15241256621.924637,0.0011553136989381364,1.0,1.0,1.0,0.893584121945937,1.0,-293318265.861486
416,284.78420041142635,9980609339569.201,6237880837230.75,2411243585793.1567,1873038998843.5515,6336975691824.123,4792928989078.958,11129904680903.082,1.1397982079220543,30808337279.59275,7485945389.803674,8667826825.055702,14984311990.748413,0.0011052636160391262,1.0,1.0,1.0,0.8861312857014506,1.0,-293252407.7155828
417,284.7331736840191,9980609339569.201,6237880837230.75,2392538578317.3076,1844168301562.2344,6257695472388.872,4731744437722.636,10989439910111.508,1.0763500223603133,30422902356.25659,7370798903.9253645,8601139622.451998,14753346412.497873,0.0010617798673068454,1.0,1.0,1.0,0.8792572011331024,1.0,-293186549.56967956
418,284.67431180706114,9980609339569.201,6237880837230.75,2370995415159.6167,1815759528825.1936,6167087027390.578,4661630234771.023,10828717262161.602,0.9985886921259146,29982393244.396122,7257480005.163199,8534987714.54711,14526076230.601547,0.0010203462241449043,1.0,1.0,1.0,0.8713400952133695,1.0,-293120691.4237763
